date_et,n_primary,n_fallback,used_fallback,spy_sentiment
2025-09-09,66,1,False,-0.32173651456832886
2025-09-10,52,1,False,-0.49373868107795715
2025-09-11,60,1,False,-0.6049185395240784
2025-09-12,70,1,False,-0.40529292821884155
2025-09-15,41,0,False,-0.4043068289756775
2025-09-16,77,2,False,-0.37286069989204407
2025-09-17,72,0,False,-0.3515382409095764
2025-09-18,40,1,False,-0.47163301706314087
2025-09-19,31,0,False,-0.4400973916053772
2025-09-22,35,1,False,-0.227982297539711
2025-09-23,22,0,False,-0.2063644975423813
2025-09-24,32,2,False,-0.35523921251296997
2025-09-25,33,1,False,-0.48707106709480286
2025-09-26,23,0,False,-0.28810012340545654
